"feature","sample_coverage","Data"
"PE_18:0;0_22:4;0",13,"Substructure"
"PE_18:0;0_22:5;0",13,"Substructure"
"PE_18:0;0_22:6;0",13,"Substructure"
"PE_18:1;0_18:1;0",13,"Substructure"
"PE_18:1;0_18:2;0",13,"Substructure"
"PE_18:1;0_19:1;0",13,"Substructure"
"PE_18:1;0_20:1;0",13,"Substructure"
"PE_18:1;0_20:2;0",13,"Substructure"
"PE_18:1;0_20:3;0",13,"Substructure"
"PE_18:1;0_20:4;0",13,"Substructure"
"PE_18:1;0_22:4;0",13,"Substructure"
"PE_18:1;0_22:5;0",13,"Substructure"
"PE_18:1;0_22:6;0",13,"Substructure"
"PE_18:1;0_24:0;0",13,"Substructure"
"PE_18:2;0_18:2;0",10,"Substructure"
"PE_18:2;0_20:3;0",8,"Substructure"
"PE_20:1;0_20:4;0",13,"Substructure"
"PG_14:0;0_18:1;0",5,"Substructure"
"PG_16:0;0_16:1;0",5,"Substructure"
"PG_16:0;0_18:1;0",13,"Substructure"
"PG_16:0;0_18:2;0",8,"Substructure"
"PG_16:1;0_18:0;0",4,"Substructure"
"PG_16:1;0_18:1;0",6,"Substructure"
"PG_18:0;0_18:1;0",8,"Substructure"
"PG_18:1;0_18:1;0",11,"Substructure"
"PG_18:1;0_18:2;0",10,"Substructure"
"PG_18:1;0_20:2;0",5,"Substructure"
"PG_22:6;0_22:6;0",7,"Substructure"
"PI_14:0;0_18:1;0",12,"Substructure"
"PI_14:1;0_18:0;0",4,"Substructure"
"PI_16:0;0_16:0;0",13,"Substructure"
"PI_16:0;0_16:1;0",13,"Substructure"
"PI_16:0;0_18:0;0",13,"Substructure"
"PI_16:0;0_18:1;0",13,"Substructure"
"PI_16:0;0_18:2;0",13,"Substructure"
"PI_16:0;0_20:1;0",13,"Substructure"
"PI_16:0;0_20:2;0",13,"Substructure"
"PI_16:0;0_20:3;0",13,"Substructure"
"PI_16:0;0_20:4;0",13,"Substructure"
"PI_16:0;0_22:5;0",9,"Substructure"
"PI_16:1;0_18:0;0",13,"Substructure"
"PI_16:1;0_18:1;0",13,"Substructure"
"PI_16:1;0_20:4;0",10,"Substructure"
"PI_17:0;0_17:0;0",4,"Substructure"
"PI_17:0;0_18:1;0",13,"Substructure"
"PI_17:0;0_18:2;0",4,"Substructure"
"PI_17:0;0_20:3;0",11,"Substructure"
"PI_17:0;0_20:4;0",7,"Substructure"
"PI_17:1;0_18:0;0",6,"Substructure"
"PI_17:1;0_18:1;0",13,"Substructure"
"PI_18:0;0_18:1;0",13,"Substructure"
"PI_18:0;0_18:2;0",13,"Substructure"
"PI_18:0;0_19:2;0",8,"Substructure"
"PI_18:0;0_19:3;0",13,"Substructure"
"PI_18:0;0_20:2;0",13,"Substructure"
"PI_18:0;0_20:3;0",13,"Substructure"
"PI_18:0;0_20:4;0",13,"Substructure"
"PI_18:0;0_20:5;0",13,"Substructure"
"PI_18:0;0_22:4;0",13,"Substructure"
"PI_18:0;0_22:5;0",13,"Substructure"
"PI_18:0;0_22:6;0",13,"Substructure"
"PI_18:1;0_18:1;0",13,"Substructure"
"PI_18:1;0_18:2;0",13,"Substructure"
"PI_18:1;0_19:1;0",13,"Substructure"
"PI_18:1;0_20:1;0",13,"Substructure"
"PI_18:1;0_20:2;0",13,"Substructure"
"PI_18:1;0_20:3;0",13,"Substructure"
"PI_18:1;0_20:4;0",13,"Substructure"
"PI_18:1;0_22:5;0",13,"Substructure"
"PI_18:1;0_22:6;0",13,"Substructure"
"PI_18:1;0_24:0;0",11,"Substructure"
"PI_18:2;0_18:2;0",7,"Substructure"
"PI_18:2;0_20:3;0",5,"Substructure"
"PI_20:1;0_20:4;0",13,"Substructure"
"PS_14:0;0_18:1;0",13,"Substructure"
"PS_16:0;0_16:0;0",12,"Substructure"
"PS_16:0;0_16:1;0",13,"Substructure"
"PS_16:0;0_18:0;0",13,"Substructure"
"PS_16:0;0_18:1;0",13,"Substructure"
"PS_16:0;0_18:2;0",13,"Substructure"
"PS_16:0;0_20:1;0",12,"Substructure"
"PS_16:0;0_20:2;0",13,"Substructure"
"PS_16:0;0_20:3;0",13,"Substructure"
"PS_16:0;0_20:4;0",13,"Substructure"
"PS_16:0;0_22:4;0",12,"Substructure"
"PS_16:1;0_17:0;0",8,"Substructure"
"PS_16:1;0_18:0;0",13,"Substructure"
"PS_16:1;0_18:1;0",13,"Substructure"
"PS_16:1;0_20:3;0",5,"Substructure"
"PS_17:0;0_18:1;0",13,"Substructure"
"PS_17:0;0_18:2;0",6,"Substructure"
"PS_17:0;0_20:3;0",8,"Substructure"
"PS_17:0;0_20:4;0",13,"Substructure"
"PS_17:1;0_17:1;0",5,"Substructure"
"PS_17:1;0_18:0;0",13,"Substructure"
"PS_17:1;0_18:1;0",13,"Substructure"
"PS_18:0;0_18:1;0",13,"Substructure"
"PS_18:0;0_18:2;0",13,"Substructure"
"PS_18:0;0_20:1;0",6,"Substructure"
"PS_18:0;0_20:2;0",13,"Substructure"
"PS_18:0;0_20:3;0",13,"Substructure"
"PS_18:0;0_20:4;0",13,"Substructure"
"PS_18:0;0_20:5;0",13,"Substructure"
"PS_18:0;0_22:4;0",13,"Substructure"
"PS_18:0;0_22:5;0",13,"Substructure"
"PS_18:0;0_22:6;0",13,"Substructure"
"PS_18:1;0_18:1;0",13,"Substructure"
"PS_18:1;0_18:2;0",13,"Substructure"
"PS_18:1;0_19:1;0",13,"Substructure"
"PS_18:1;0_20:0;0",8,"Substructure"
"PS_18:1;0_20:1;0",13,"Substructure"
"PS_18:1;0_20:2;0",13,"Substructure"
"PS_18:1;0_20:3;0",13,"Substructure"
"PS_18:1;0_20:4;0",13,"Substructure"
"PS_18:1;0_22:0;0",9,"Substructure"
"PS_18:1;0_22:1;0",8,"Substructure"
"PS_18:1;0_22:5;0",6,"Substructure"
"PS_18:1;0_22:6;0",6,"Substructure"
"PS_18:1;0_24:0;0",13,"Substructure"
"PS_18:1;0_24:1;0",7,"Substructure"
"PS_18:2;0_18:2;0",10,"Substructure"
"PS_18:2;0_20:3;0",5,"Substructure"
"PS_20:1;0_20:4;0",13,"Substructure"
